Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species_Iris-versicolor,Species_Iris-virginica
1,5.1,3.5,1.4,0.2,False,False
2,4.9,3.0,1.4,0.2,False,False
3,5.72,3.2,1.3,0.2,False,False
4,5.72,3.1,1.5,0.2,False,False
5,5.72,3.6,1.4,0.2,False,False
6,5.72,3.9,1.7,0.4,False,False
7,5.72,3.4,1.4,0.3,False,False
8,5.72,3.4,1.5,0.2,False,False
9,5.72,2.9,1.4,0.2,False,False
10,5.72,3.1,1.5,0.1,False,False
11,5.72,3.7,1.5,0.2,False,False
12,5.72,3.4,1.6,0.2,False,False
13,5.72,3.0,1.4,0.1,False,False
14,5.72,3.0,1.1,0.1,False,False
15,5.72,4.0,1.2,0.2,False,False
16,5.72,4.4,1.5,0.4,False,False
17,5.72,3.9,1.3,0.4,False,False
18,5.72,3.5,1.4,0.3,False,False
19,5.72,3.8,1.7,0.3,False,False
20,5.72,3.8,1.5,0.3,False,False
21,5.72,3.4,1.7,0.2,False,False
22,5.72,3.7,1.5,0.4,False,False
23,5.72,3.6,1.0,0.2,False,False
24,5.72,3.3,1.7,0.5,False,False
25,5.72,3.4,1.9,0.2,False,False
26,5.72,3.0,1.6,0.2,False,False
27,5.72,3.4,1.6,0.4,False,False
28,5.72,3.5,1.5,0.2,False,False
29,5.72,3.4,1.4,0.2,False,False
30,5.72,3.2,1.6,0.2,False,False
31,5.72,3.1,1.6,0.2,False,False
32,5.72,3.4,1.5,0.4,False,False
33,5.72,4.1,1.5,0.1,False,False
34,5.72,4.2,1.4,0.2,False,False
35,5.72,3.1,1.5,0.1,False,False
36,5.72,3.2,1.2,0.2,False,False
37,5.72,3.5,1.3,0.2,False,False
38,5.72,3.1,1.5,0.1,False,False
39,5.72,3.0,1.3,0.2,False,False
40,5.72,3.4,1.5,0.2,False,False
41,5.72,3.5,1.3,0.3,False,False
42,5.72,2.3,1.3,0.3,False,False
43,5.72,3.2,1.3,0.2,False,False
44,5.72,3.5,1.6,0.6,False,False
45,5.72,3.8,1.9,0.4,False,False
46,5.72,3.0,1.4,0.3,False,False
47,5.72,3.8,1.6,0.2,False,False
48,5.72,3.2,1.4,0.2,False,False
49,5.72,3.7,1.5,0.2,False,False
50,5.72,3.3,1.4,0.2,False,False
51,5.72,3.2,4.7,1.4,True,False
52,5.72,3.2,4.5,1.5,True,False
53,5.72,3.1,4.9,1.5,True,False
54,5.72,2.3,4.0,1.3,True,False
55,5.72,2.8,4.6,1.5,True,False
56,5.72,2.8,4.5,1.3,True,False
57,5.72,3.3,4.7,1.6,True,False
58,5.72,2.4,3.3,1.0,True,False
59,5.72,2.9,4.6,1.3,True,False
60,5.72,2.7,3.9,1.4,True,False
61,5.72,2.0,3.5,1.0,True,False
62,5.72,3.0,4.2,1.5,True,False
63,5.72,2.2,4.0,1.0,True,False
64,5.72,2.9,4.7,1.4,True,False
65,5.72,2.9,3.6,1.3,True,False
66,5.72,3.1,4.4,1.4,True,False
67,5.72,3.0,4.5,1.5,True,False
68,5.72,2.7,4.1,1.0,True,False
69,5.72,2.2,4.5,1.5,True,False
70,5.72,2.5,3.9,1.1,True,False
71,5.72,3.2,4.8,1.8,True,False
72,5.72,2.8,4.0,1.3,True,False
73,5.72,2.5,4.9,1.5,True,False
74,5.72,2.8,4.7,1.2,True,False
75,5.72,2.9,4.3,1.3,True,False
76,5.72,3.0,4.4,1.4,True,False
77,5.72,2.8,4.8,1.4,True,False
78,5.72,3.0,5.0,1.7,True,False
79,5.72,2.9,4.5,1.5,True,False
80,5.72,2.6,3.5,1.0,True,False
81,5.72,2.4,3.8,1.1,True,False
82,5.72,2.4,3.7,1.0,True,False
83,5.72,2.7,3.9,1.2,True,False
84,5.72,2.7,5.1,1.6,True,False
85,5.72,3.0,4.5,1.5,True,False
86,5.72,3.4,4.5,1.6,True,False
87,5.72,3.1,4.7,1.5,True,False
88,5.72,2.3,4.4,1.3,True,False
89,5.72,3.0,4.1,1.3,True,False
90,5.72,2.5,4.0,1.3,True,False
91,5.72,2.6,4.4,1.2,True,False
92,5.72,3.0,4.6,1.4,True,False
93,5.72,2.6,4.0,1.2,True,False
94,5.72,2.3,3.3,1.0,True,False
95,5.72,2.7,4.2,1.3,True,False
96,5.72,3.0,4.2,1.2,True,False
97,5.72,2.9,4.2,1.3,True,False
98,5.72,2.9,4.3,1.3,True,False
99,5.72,2.5,3.0,1.1,True,False
100,5.72,2.8,4.1,1.3,True,False
101,5.72,3.3,6.0,2.5,False,True
102,5.72,2.7,5.1,1.9,False,True
103,5.72,3.0,5.9,2.1,False,True
104,5.72,2.9,5.6,1.8,False,True
105,5.72,3.0,5.8,2.2,False,True
106,5.72,3.0,6.6,2.1,False,True
107,5.72,2.5,4.5,1.7,False,True
108,5.72,2.9,6.3,1.8,False,True
109,5.72,2.5,5.8,1.8,False,True
110,5.72,3.6,6.1,2.5,False,True
111,5.72,3.2,5.1,2.0,False,True
112,5.72,2.7,5.3,1.9,False,True
113,5.72,3.0,5.5,2.1,False,True
114,5.72,2.5,5.0,2.0,False,True
115,5.72,2.8,5.1,2.4,False,True
116,5.72,3.2,5.3,2.3,False,True
117,5.72,3.0,5.5,1.8,False,True
118,5.72,3.8,6.7,2.2,False,True
119,5.72,2.6,6.9,2.3,False,True
120,5.72,2.2,5.0,1.5,False,True
121,5.72,3.2,5.7,2.3,False,True
122,5.72,2.8,4.9,2.0,False,True
123,5.72,2.8,6.7,2.0,False,True
124,5.72,2.7,4.9,1.8,False,True
125,5.72,3.3,5.7,2.1,False,True
126,5.72,3.2,6.0,1.8,False,True
127,5.72,2.8,4.8,1.8,False,True
128,5.72,3.0,4.9,1.8,False,True
129,5.72,2.8,5.6,2.1,False,False
130,5.72,3.0,5.8,1.6,False,True
131,5.72,2.8,6.1,1.9,False,True
132,5.72,3.8,6.4,2.0,False,True
133,5.72,2.8,5.6,2.2,False,True
134,5.72,2.8,5.1,1.5,False,True
135,5.72,2.6,5.6,1.4,False,True
136,5.72,3.0,6.1,2.3,False,True
137,5.72,3.4,5.6,2.4,False,True
138,5.72,3.1,5.5,1.8,False,True
139,5.72,3.0,4.8,1.8,False,True
140,5.72,3.1,5.4,2.1,False,True
141,5.72,3.0536912752,5.6,2.4,False,True
142,5.72,3.1,5.1,2.3,False,True
143,5.72,2.7,5.1,1.9,False,True
144,5.72,3.2,5.9,2.3,False,True
145,5.72,3.3,5.7,2.5,False,True
146,5.72,3.0,5.2,2.3,False,True
147,5.72,2.5,5.0,1.9,False,True
148,6.5,3.0,5.2,2.0,False,True
149,6.2,3.4,5.4,2.3,False,True
150,5.9,3.0,5.1,1.8,False,True
