Id,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species_Iris-versicolor,Species_Iris-virginica
1,3.5,1.4,0.2,False,False
2,3.0,1.4,0.2,False,False
3,3.2,1.3,0.2,False,False
4,3.1,1.5,0.2,False,False
5,3.6,1.4,0.2,False,False
6,3.9,1.7,0.4,False,False
7,3.4,1.4,0.3,False,False
8,3.4,1.5,0.2,False,False
9,2.9,1.4,0.2,False,False
10,3.1,1.5,0.1,False,False
11,3.7,1.5,0.2,False,False
12,3.4,1.6,0.2,False,False
13,3.0,1.4,0.1,False,False
14,3.0,1.1,0.1,False,False
15,4.0,1.2,0.2,False,False
16,4.4,1.5,0.4,False,False
17,3.9,1.3,0.4,False,False
18,3.5,1.4,0.3,False,False
19,3.8,1.7,0.3,False,False
20,3.8,1.5,0.3,False,False
21,3.4,1.7,0.2,False,False
22,3.7,1.5,0.4,False,False
23,3.6,1.0,0.2,False,False
24,3.3,1.7,0.5,False,False
25,3.4,1.9,0.2,False,False
26,3.0,1.6,0.2,False,False
27,3.4,1.6,0.4,False,False
28,3.5,1.5,0.2,False,False
29,3.4,1.4,0.2,False,False
30,3.2,1.6,0.2,False,False
31,3.1,1.6,0.2,False,False
32,3.4,1.5,0.4,False,False
33,4.1,1.5,0.1,False,False
34,4.2,1.4,0.2,False,False
35,3.1,1.5,0.1,False,False
36,3.2,1.2,0.2,False,False
37,3.5,1.3,0.2,False,False
38,3.1,1.5,0.1,False,False
39,3.0,1.3,0.2,False,False
40,3.4,1.5,0.2,False,False
41,3.5,1.3,0.3,False,False
42,2.3,1.3,0.3,False,False
43,3.2,1.3,0.2,False,False
44,3.5,1.6,0.6,False,False
45,3.8,1.9,0.4,False,False
46,3.0,1.4,0.3,False,False
47,3.8,1.6,0.2,False,False
48,3.2,1.4,0.2,False,False
49,3.7,1.5,0.2,False,False
50,3.3,1.4,0.2,False,False
51,3.2,4.7,1.4,True,False
52,3.2,4.5,1.5,True,False
53,3.1,4.9,1.5,True,False
54,2.3,4.0,1.3,True,False
55,2.8,4.6,1.5,True,False
56,2.8,4.5,1.3,True,False
57,3.3,4.7,1.6,True,False
58,2.4,3.3,1.0,True,False
59,2.9,4.6,1.3,True,False
60,2.7,3.9,1.4,True,False
61,2.0,3.5,1.0,True,False
62,3.0,4.2,1.5,True,False
63,2.2,4.0,1.0,True,False
64,2.9,4.7,1.4,True,False
65,2.9,3.6,1.3,True,False
66,3.1,4.4,1.4,True,False
67,3.0,4.5,1.5,True,False
68,2.7,4.1,1.0,True,False
69,2.2,4.5,1.5,True,False
70,2.5,3.9,1.1,True,False
71,3.2,4.8,1.8,True,False
72,2.8,4.0,1.3,True,False
73,2.5,4.9,1.5,True,False
74,2.8,4.7,1.2,True,False
75,2.9,4.3,1.3,True,False
76,3.0,4.4,1.4,True,False
77,2.8,4.8,1.4,True,False
78,3.0,5.0,1.7,True,False
79,2.9,4.5,1.5,True,False
80,2.6,3.5,1.0,True,False
81,2.4,3.8,1.1,True,False
82,2.4,3.7,1.0,True,False
83,2.7,3.9,1.2,True,False
84,2.7,5.1,1.6,True,False
85,3.0,4.5,1.5,True,False
86,3.4,4.5,1.6,True,False
87,3.1,4.7,1.5,True,False
88,2.3,4.4,1.3,True,False
89,3.0,4.1,1.3,True,False
90,2.5,4.0,1.3,True,False
91,2.6,4.4,1.2,True,False
92,3.0,4.6,1.4,True,False
93,2.6,4.0,1.2,True,False
94,2.3,3.3,1.0,True,False
95,2.7,4.2,1.3,True,False
96,3.0,4.2,1.2,True,False
97,2.9,4.2,1.3,True,False
98,2.9,4.3,1.3,True,False
99,2.5,3.0,1.1,True,False
100,2.8,4.1,1.3,True,False
101,3.3,6.0,2.5,False,True
102,2.7,5.1,1.9,False,True
103,3.0,5.9,2.1,False,True
104,2.9,5.6,1.8,False,True
105,3.0,5.8,2.2,False,True
106,3.0,6.6,2.1,False,True
107,2.5,4.5,1.7,False,True
108,2.9,6.3,1.8,False,True
109,2.5,5.8,1.8,False,True
110,3.6,6.1,2.5,False,True
111,3.2,5.1,2.0,False,True
112,2.7,5.3,1.9,False,True
113,3.0,5.5,2.1,False,True
114,2.5,5.0,2.0,False,True
115,2.8,5.1,2.4,False,True
116,3.2,5.3,2.3,False,True
117,3.0,5.5,1.8,False,True
118,3.8,6.7,2.2,False,True
119,2.6,6.9,2.3,False,True
120,2.2,5.0,1.5,False,True
121,3.2,5.7,2.3,False,True
122,2.8,4.9,2.0,False,True
123,2.8,6.7,2.0,False,True
124,2.7,4.9,1.8,False,True
125,3.3,5.7,2.1,False,True
126,3.2,6.0,1.8,False,True
127,2.8,4.8,1.8,False,True
128,3.0,4.9,1.8,False,True
129,2.8,5.6,2.1,False,False
130,3.0,5.8,1.6,False,True
131,2.8,6.1,1.9,False,True
132,3.8,6.4,2.0,False,True
133,2.8,5.6,2.2,False,True
134,2.8,5.1,1.5,False,True
135,2.6,5.6,1.4,False,True
136,3.0,6.1,2.3,False,True
137,3.4,5.6,2.4,False,True
138,3.1,5.5,1.8,False,True
139,3.0,4.8,1.8,False,True
140,3.1,5.4,2.1,False,True
141,3.0536912752,5.6,2.4,False,True
142,3.1,5.1,2.3,False,True
143,2.7,5.1,1.9,False,True
144,3.2,5.9,2.3,False,True
145,3.3,5.7,2.5,False,True
146,3.0,5.2,2.3,False,True
147,2.5,5.0,1.9,False,True
148,3.0,5.2,2.0,False,True
149,3.4,5.4,2.3,False,True
150,3.0,5.1,1.8,False,True
